k,r,max_prime,orbit_length,reached_1,diverged,pi
7,688,43,33,1,0,1.5477252495e-03
7,689,1619,126,1,0,2.0391479902e-04
7,691,1619,126,1,0,3.4228392139e-04
7,692,173,33,1,0,1.4420966051e-03
7,694,1619,126,1,0,1.8082660469e-04
7,695,1619,126,1,0,1.6131057347e-03
7,697,1619,126,1,0,3.5267272573e-04
7,698,349,33,1,0,2.1073285855e-04
7,700,1619,82,1,0,4.8456522873e-05
7,701,1619,82,1,0,9.2003201575e-04
7,703,55667,170,1,0,3.8331559515e-04
7,704,17,20,1,0,7.0917154084e-04
7,706,1619,126,1,0,1.2870336936e-04
7,707,1619,126,1,0,3.1308292794e-04
7,709,709,33,1,0,7.7597105131e-05
7,710,71,33,1,0,2.8801270977e-04
7,712,101,33,1,0,5.8042508406e-04
7,713,241,25,1,0,5.5888387547e-04
7,715,227,25,1,0,3.2562723838e-04
7,716,269,33,1,0,1.0367757639e-04
7,718,1367,51,1,0,1.6910432757e-04
7,719,1619,51,1,0,4.5614969754e-03
7,721,541,46,1,0,1.6985087061e-04
7,722,271,46,1,0,1.7651846749e-03
7,724,181,20,1,0,1.0783555284e-03
7,725,29,20,1,0,1.3972096887e-04
7,727,1637,46,1,0,4.2462717651e-05
7,728,1619,95,1,0,2.8366304706e-03
7,730,1619,95,1,0,5.2343190872e-04
7,731,1619,139,1,0,7.8752158870e-04
7,733,1619,95,1,0,6.0513190638e-04
7,734,827,46,1,0,3.7135735772e-04
7,736,53,20,1,0,8.1985488689e-05
7,737,1777,139,1,0,8.1181981847e-04
7,739,1109,20,1,0,6.1124561399e-04
7,740,157,46,1,0,3.9165392952e-04
7,742,557,46,1,0,7.5144514172e-04
7,743,3019,95,1,0,2.0510675214e-04
7,745,2693,90,1,0,6.7417743662e-05
7,746,373,20,1,0,5.8756544593e-04
7,748,317,46,1,0,3.1470833422e-04
7,749,317,46,1,0,1.4854294309e-03
7,751,7229,139,1,0,4.5820176911e-04
7,752,1619,108,1,0,1.2554899579e-04
7,754,1619,64,1,0,5.3108064979e-05
7,755,1619,64,1,0,1.2737442107e-03
7,757,1619,108,1,0,3.2794195476e-04
7,758,641,59,1,0,8.3285494719e-04
7,760,1619,108,1,0,2.7347689328e-04
7,761,857,33,1,0,1.6943502957e-04
7,763,2069,152,1,0,4.6878942252e-05
7,764,1093,46,1,0,2.1825065080e-04
7,766,4373,46,1,0,3.1636676631e-04
7,767,13121,59,1,0,8.0231200609e-04
7,769,769,33,1,0,5.1124390350e-04
7,770,163,33,1,0,1.6938212795e-04
7,772,1619,121,1,0,1.5538436557e-04
7,773,1619,121,1,0,7.0105699814e-04
7,775,1777,152,1,0,2.6555488133e-04
7,776,1619,121,1,0,9.1271471237e-04
7,778,1619,121,1,0,6.8884366703e-04
7,779,877,59,1,0,9.8957758549e-05
7,781,1619,121,1,0,7.2459910351e-05
7,782,1619,121,1,0,4.6958493437e-04
7,784,37,28,1,0,2.0389354535e-04
7,785,1619,121,1,0,8.2042700858e-04
7,787,1181,59,1,0,1.4408998534e-04
7,788,197,28,1,0,3.0698487921e-04
7,790,1619,77,1,0,1.1283969868e-04
7,791,1619,77,1,0,7.2401713258e-04
7,793,1619,77,1,0,2.6967097465e-04
7,794,397,28,1,0,5.5137565178e-04
7,796,1619,121,1,0,4.2536211162e-04
7,797,1619,121,1,0,1.3779760831e-04
7,799,4049,72,1,0,8.6250111374e-05
7,800,29,28,1,0,1.7597614972e-03
7,802,401,20,1,0,1.9181333454e-04
7,803,241,20,1,0,7.8453320200e-04
7,805,227,20,1,0,1.1000899474e-03
7,806,227,20,1,0,1.5349230564e-04
7,808,101,28,1,0,4.5787048994e-05
7,809,1367,46,1,0,7.4086621813e-04
7,811,1619,134,1,0,4.3120417653e-04
7,812,229,41,1,0,5.1568260325e-04
7,814,131,41,1,0,3.7325656258e-04
7,815,2753,134,1,0,4.3817307420e-04
7,817,613,41,1,0,1.7317190164e-04
7,818,461,41,1,0,8.2347218939e-04
7,820,41,28,1,0,4.2540893994e-03
7,821,821,28,1,0,5.0219598317e-04
7,823,1619,134,1,0,1.0411408010e-03
7,824,1619,90,1,0,2.7642296268e-04
7,826,1619,90,1,0,1.0190464795e-04
7,827,827,41,1,0,9.0440078556e-04
7,829,1619,90,1,0,2.1243225991e-04
7,830,1777,134,1,0,1.6243125552e-03
7,832,13,15,1,0,1.3812310389e-03
7,833,67,28,1,0,3.0338045042e-04
7,835,1619,134,1,0,5.6521272968e-05
7,836,157,41,1,0,2.0454543349e-03
7,838,419,41,1,0,4.1323360595e-04
7,839,2693,85,1,0,3.8751541000e-04
7,841,947,41,1,0,2.2089388577e-04
7,842,421,41,1,0,2.5095578279e-04
7,844,317,41,1,0,5.8979676391e-05
7,845,317,41,1,0,2.4981703626e-04
7,847,2861,33,1,0,7.0306895208e-04
7,848,53,15,1,0,3.6658087718e-04
7,850,1619,59,1,0,1.6660013708e-03
7,851,1619,59,1,0,1.8869407612e-04
7,853,853,15,1,0,3.4003576204e-04
7,854,641,54,1,0,1.1226831453e-03
7,856,1619,103,1,0,2.4916109931e-04
7,857,857,28,1,0,6.7774011829e-04
7,859,2069,147,1,0,6.7490296841e-04
7,860,1619,103,1,0,2.4041245538e-04
7,862,1093,41,1,0,4.9011886194e-05
7,863,4373,41,1,0,5.9452071851e-04
7,865,1619,147,1,0,1.8751576901e-04
7,866,433,28,1,0,1.8597495201e-03
7,868,163,28,1,0,1.2409161000e-04
7,869,163,28,1,0,2.1268159943e-04
7,871,42443,178,1,0,1.7644840614e-04
7,872,1619,116,1,0,1.1940377028e-03
7,874,1619,116,1,0,4.5142953945e-04
7,875,1109,28,1,0,2.8203460575e-04
7,877,877,54,1,0,3.1740276964e-04
7,878,659,54,1,0,1.9875120031e-04
7,880,1619,116,1,0,5.5253352641e-04
7,881,1619,116,1,0,2.7705161068e-03
7,883,883,28,1,0,4.1661163943e-04
7,884,1619,116,1,0,1.5772358866e-03
7,886,499,54,1,0,8.0348749430e-04
7,887,1997,54,1,0,1.2456102405e-04
7,889,7229,147,1,0,5.3489704673e-05
7,890,1619,72,1,0,8.5441138365e-03
7,892,1619,72,1,0,1.9494512201e-04
7,893,1619,72,1,0,6.7752851178e-04
