y_idx,n_pre_struct,n_pre_weighted,max_weight,col_entropy,col_sum
376,486,486,6.250000e-02,1.680777,2.380952e-01
377,486,486,5.000000e-01,1.404093,1.619048e+00
378,486,486,2.500000e-01,1.680777,9.523810e-01
379,486,486,5.000000e-01,1.680777,1.904762e+00
380,486,486,2.500000e-01,1.404093,8.095238e-01
381,486,486,1.250000e-01,1.680777,4.761905e-01
382,486,486,6.250000e-02,1.680777,2.380952e-01
383,486,486,5.000000e-01,1.404093,1.619048e+00
384,486,486,2.500000e-01,1.680777,9.523810e-01
385,486,486,5.000000e-01,1.680777,1.904762e+00
386,486,486,2.500000e-01,1.404093,8.095238e-01
387,486,486,1.250000e-01,1.680777,4.761905e-01
388,486,486,6.250000e-02,1.680777,2.380952e-01
389,486,486,5.000000e-01,1.404093,1.619048e+00
390,486,486,2.500000e-01,1.680777,9.523810e-01
391,486,486,5.000000e-01,1.680777,1.904762e+00
392,486,486,2.500000e-01,1.404093,8.095238e-01
393,486,486,1.250000e-01,1.680777,4.761905e-01
394,486,486,6.250000e-02,1.680777,2.380952e-01
395,486,486,5.000000e-01,1.404093,1.619048e+00
396,486,486,2.500000e-01,1.680777,9.523810e-01
397,486,486,5.000000e-01,1.680777,1.904762e+00
398,486,486,2.500000e-01,1.404093,8.095238e-01
399,486,486,1.250000e-01,1.680777,4.761905e-01
400,486,486,6.250000e-02,1.680777,2.380952e-01
401,486,486,5.000000e-01,1.404093,1.619048e+00
402,486,486,2.500000e-01,1.680777,9.523810e-01
403,486,486,5.000000e-01,1.680777,1.904762e+00
404,486,486,2.500000e-01,1.404093,8.095238e-01
405,486,486,1.250000e-01,1.680777,4.761905e-01
406,486,486,6.250000e-02,1.680777,2.380952e-01
407,486,486,5.000000e-01,1.404093,1.619048e+00
408,486,486,2.500000e-01,1.680777,9.523810e-01
409,486,486,5.000000e-01,1.680777,1.904762e+00
410,486,486,2.500000e-01,1.404093,8.095238e-01
411,486,486,1.250000e-01,1.680777,4.761905e-01
412,486,486,6.250000e-02,1.680777,2.380952e-01
413,486,486,5.000000e-01,1.404093,1.619048e+00
414,486,486,2.500000e-01,1.680777,9.523810e-01
415,486,486,5.000000e-01,1.680777,1.904762e+00
416,486,486,2.500000e-01,1.404093,8.095238e-01
417,486,486,1.250000e-01,1.680777,4.761905e-01
418,486,486,6.250000e-02,1.680777,2.380952e-01
419,486,486,5.000000e-01,1.404093,1.619048e+00
420,486,486,2.500000e-01,1.680777,9.523810e-01
421,486,486,5.000000e-01,1.680777,1.904762e+00
422,486,486,2.500000e-01,1.404093,8.095238e-01
423,486,486,1.250000e-01,1.680777,4.761905e-01
424,486,486,6.250000e-02,1.680777,2.380952e-01
425,486,486,5.000000e-01,1.404093,1.619048e+00
426,486,486,2.500000e-01,1.680777,9.523810e-01
427,486,486,5.000000e-01,1.680777,1.904762e+00
428,486,486,2.500000e-01,1.404093,8.095238e-01
429,486,486,1.250000e-01,1.680777,4.761905e-01
430,486,486,6.250000e-02,1.680777,2.380952e-01
431,486,486,5.000000e-01,1.404093,1.619048e+00
432,486,486,2.500000e-01,1.680777,9.523810e-01
433,486,486,5.000000e-01,1.680777,1.904762e+00
434,486,486,2.500000e-01,1.404093,8.095238e-01
435,486,486,1.250000e-01,1.680777,4.761905e-01
436,486,486,6.250000e-02,1.680777,2.380952e-01
437,486,486,5.000000e-01,1.404093,1.619048e+00
438,486,486,2.500000e-01,1.680777,9.523810e-01
439,486,486,5.000000e-01,1.680777,1.904762e+00
440,486,486,2.500000e-01,1.404093,8.095238e-01
441,486,486,1.250000e-01,1.680777,4.761905e-01
442,486,486,6.250000e-02,1.680777,2.380952e-01
443,486,486,5.000000e-01,1.404093,1.619048e+00
444,486,486,2.500000e-01,1.680777,9.523810e-01
445,486,486,5.000000e-01,1.680777,1.904762e+00
446,486,486,2.500000e-01,1.404093,8.095238e-01
447,486,486,1.250000e-01,1.680777,4.761905e-01
448,486,486,6.250000e-02,1.680777,2.380952e-01
449,486,486,5.000000e-01,1.404093,1.619048e+00
450,486,486,2.500000e-01,1.680777,9.523810e-01
451,486,486,5.000000e-01,1.680777,1.904762e+00
452,486,486,2.500000e-01,1.404093,8.095238e-01
453,486,486,1.250000e-01,1.680777,4.761905e-01
454,486,486,6.250000e-02,1.680777,2.380952e-01
455,486,486,5.000000e-01,1.404093,1.619048e+00
456,486,486,2.500000e-01,1.680777,9.523810e-01
457,486,486,5.000000e-01,1.680777,1.904762e+00
458,486,486,2.500000e-01,1.404093,8.095238e-01
459,486,486,1.250000e-01,1.680777,4.761905e-01
460,486,486,6.250000e-02,1.680777,2.380952e-01
461,486,486,5.000000e-01,1.404093,1.619048e+00
462,486,486,2.500000e-01,1.680777,9.523810e-01
463,486,486,5.000000e-01,1.680777,1.904762e+00
464,486,486,2.500000e-01,1.404093,8.095238e-01
465,486,486,1.250000e-01,1.680777,4.761905e-01
466,486,486,6.250000e-02,1.680777,2.380952e-01
467,486,486,5.000000e-01,1.404093,1.619048e+00
468,486,486,2.500000e-01,1.680777,9.523810e-01
469,486,486,5.000000e-01,1.680777,1.904762e+00
470,486,486,2.500000e-01,1.404093,8.095238e-01
471,486,486,1.250000e-01,1.680777,4.761905e-01
472,486,486,6.250000e-02,1.680777,2.380952e-01
473,486,486,5.000000e-01,1.404093,1.619048e+00
474,486,486,2.500000e-01,1.680777,9.523810e-01
475,486,486,5.000000e-01,1.680777,1.904762e+00
476,486,486,2.500000e-01,1.404093,8.095238e-01
477,486,486,1.250000e-01,1.680777,4.761905e-01
478,486,486,6.250000e-02,1.680777,2.380952e-01
479,486,486,5.000000e-01,1.404093,1.619048e+00
480,486,486,2.500000e-01,1.680777,9.523810e-01
481,486,486,5.000000e-01,1.680777,1.904762e+00
482,486,486,2.500000e-01,1.404093,8.095238e-01
483,486,486,1.250000e-01,1.680777,4.761905e-01
484,486,486,6.250000e-02,1.680777,2.380952e-01
485,486,486,5.000000e-01,1.404093,1.619048e+00
