y_idx,y,n_preimage_strict,n_preimage_eff,max_K,entropy,total_mass,entropy_over_log_npre
884,1327,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
885,1328,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
886,1330,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
887,1331,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
888,1333,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
889,1334,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
890,1336,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
891,1337,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
892,1339,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
893,1340,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
894,1342,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
895,1343,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
896,1345,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
897,1346,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
898,1348,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
899,1349,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
900,1351,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
901,1352,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
902,1354,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
903,1355,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
904,1357,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
905,1358,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
906,1360,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
907,1361,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
908,1363,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
909,1364,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
910,1366,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
911,1367,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
912,1369,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
913,1370,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
914,1372,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
915,1373,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
916,1375,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
917,1376,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
918,1378,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
919,1379,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
920,1381,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
921,1382,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
922,1384,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
923,1385,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
924,1387,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
925,1388,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
926,1390,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
927,1391,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
928,1393,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
929,1394,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
930,1396,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
931,1397,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
932,1399,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
933,1400,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
934,1402,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
935,1403,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
936,1405,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
937,1406,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
938,1408,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
939,1409,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
940,1411,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
941,1412,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
942,1414,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
943,1415,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
944,1417,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
945,1418,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
946,1420,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
947,1421,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
948,1423,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
949,1424,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
950,1426,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
951,1427,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
952,1429,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
953,1430,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
954,1432,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
955,1433,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
956,1435,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
957,1436,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
958,1438,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
959,1439,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
960,1441,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
