k,a,b,df,N_eff,chi2,chi2_per_df,z_score
5,5,2,75,9999999,87.7997808108579,1.170663744144772,1.045097726868979
5,5,3,255,9999999,251.0778563450885,0.984619044490543,-0.17367544020081332
5,5,4,795,9999999,776.3460555992101,0.9765359189927171,-0.4678128164797782
6,1,1,0,9999999,0.0,nan,nan
6,1,2,0,9999999,0.0,nan,nan
6,1,3,0,9999999,0.0,nan,nan
6,1,4,0,9999999,0.0,nan,nan
6,2,1,1,9999999,0.006731871629568873,0.006731871629568873,-0.702346629107202
6,2,2,5,9999999,2.251150057500791,0.4502300115001582,-0.8692626764320383
6,2,3,17,9999999,17.565969488349886,1.0332923228441109,0.09706296648583505
6,2,4,53,9999999,52.40849329777093,0.9888394961843572,-0.057452209736466225
6,3,1,3,9999999,0.22328134714580655,0.07442711571526885,-1.1335906431268454
6,3,2,15,9999999,10.384902917874486,0.6923268611916324,-0.8425975923188054
6,3,3,51,9999999,66.1275126357842,1.2966178948192981,1.4978469467670321
6,3,4,159,9999999,165.73381327475676,1.0423510268852627,0.3776134975338949
6,4,1,7,9999999,2.2955291437332566,0.3279327348190367,-1.2573227235866564
6,4,2,35,9999999,21.276112197350308,0.6078889199242945,-1.6403183333022238
6,4,3,119,9999999,122.92148276196431,1.0329536366551624,0.2541919728150894
6,4,4,371,9999999,343.61090089747626,0.9261749350336287,-1.005485460017746
6,5,1,15,9999999,8.18478490448446,0.5456523269656306,-1.244282347354529
6,5,2,75,9999999,73.19682021936012,0.9759576029248016,-0.1472290125690469
6,5,3,255,9999999,289.0677139439428,1.1335988782115405,1.5085437292538808
6,5,4,795,9999999,757.1435085859287,0.9523817718061995,-0.9493837598073542
8,1,1,0,9999996,0.0,nan,nan
8,1,2,0,9999996,3.598505662746521e-25,nan,nan
8,1,3,0,9999996,0.0,nan,nan
8,1,4,0,9999996,0.0,nan,nan
8,2,1,1,9999996,0.3556047992292244,0.3556047992292244,-0.45565621622908214
8,2,2,5,9999996,2.1828525422924576,0.43657050845849155,-0.8908602470908705
8,2,3,17,9999996,7.932974781970591,0.46664557541003476,-1.5549819963434912
8,2,4,53,9999996,44.48800921431163,0.8393964002700308,-0.8267576310654413
8,3,1,3,9999996,0.4408410038153862,0.1469470012717954,-1.0447722852175845
8,3,2,15,9999996,13.488848151950595,0.899256543463373,-0.27589731833075937
8,3,3,51,9999996,32.42043655643973,0.6356948344399947,-1.839650909322044
8,3,4,159,9999996,145.9870446407832,0.9181575134640454,-0.7297303007891611
8,4,1,7,9999996,1.3394213928422158,0.19134591326317368,-1.512853268491891
8,4,2,35,9999996,41.32859316716706,1.1808169476333445,0.7564115610236227
8,4,3,119,9999996,107.19569795676574,0.9008041845106365,-0.7651592538358869
8,4,4,371,9999996,366.1990766487106,0.9870595057916728,-0.17624744086366617
8,5,1,15,9999996,13.604936433008444,0.9069957622005629,-0.2547025949316316
8,5,2,75,9999996,83.5789351845197,1.1143858024602626,0.7004671246160901
