# E-FORM gate q=3 L=2: every nonzero entry, actual (build_compressed) vs formula R*N/D
# src(e,g)	dst(e',g')	actual	formula	s=e'-e	R(s)	N=actual*D/R(s)
(5,4)	(5,2)	65/1134	65/1134	0	65/189	1
(5,4)	(5,3)	65/1134	65/1134	0	65/189	1
(5,4)	(5,4)	65/1134	65/1134	0	65/189	1
(5,5)	(1,2)	10/567	10/567	2	20/189	1
(5,5)	(1,3)	10/567	10/567	2	20/189	1
(5,5)	(1,4)	10/567	10/567	2	20/189	1
(5,5)	(3,2)	10/567	10/567	4	20/189	1
(5,5)	(3,3)	10/567	10/567	4	20/189	1
(5,5)	(3,4)	10/567	10/567	4	20/189	1
(5,5)	(5,2)	65/1134	65/1134	0	65/189	1
(5,5)	(5,3)	65/1134	65/1134	0	65/189	1
(5,5)	(5,4)	65/1134	65/1134	0	65/189	1
(5,6)	(0,2)	34/189	34/189	1	34/189	6
(5,6)	(2,3)	8/189	8/189	3	16/189	3
(5,6)	(2,4)	8/189	8/189	3	16/189	3
(5,6)	(4,3)	17/189	17/189	5	34/189	3
(5,6)	(4,4)	17/189	17/189	5	34/189	3
(5,7)	(1,3)	10/567	10/567	2	20/189	1
(5,7)	(1,4)	10/567	10/567	2	20/189	1
(5,7)	(1,5)	10/567	10/567	2	20/189	1
(5,7)	(3,3)	10/567	10/567	4	20/189	1
(5,7)	(3,4)	10/567	10/567	4	20/189	1
(5,7)	(3,5)	10/567	10/567	4	20/189	1
(5,7)	(5,3)	65/1134	65/1134	0	65/189	1
(5,7)	(5,4)	65/1134	65/1134	0	65/189	1
(5,7)	(5,5)	65/1134	65/1134	0	65/189	1
(5,8)	(1,3)	10/567	10/567	2	20/189	1
(5,8)	(1,4)	10/567	10/567	2	20/189	1
(5,8)	(1,5)	10/567	10/567	2	20/189	1
(5,8)	(3,3)	10/567	10/567	4	20/189	1
(5,8)	(3,4)	10/567	10/567	4	20/189	1
(5,8)	(3,5)	10/567	10/567	4	20/189	1
(5,8)	(5,3)	65/1134	65/1134	0	65/189	1
(5,8)	(5,4)	65/1134	65/1134	0	65/189	1
(5,8)	(5,5)	65/1134	65/1134	0	65/189	1
