absorption,r,v_64,v_32,lambda_PF,spec_gap_ratio
(e) {5, 37},23,0.0332988248,,0.9369583594,0.2328147413
(e) {5, 37},25,0.0330447331,,0.9369583594,0.2328147413
(e) {5, 37},27,0.0330778962,,0.9369583594,0.2328147413
(e) {5, 37},29,0.0336510424,,0.9369583594,0.2328147413
(e) {5, 37},31,0.0330702051,,0.9369583594,0.2328147413
(e) {5, 37},33,0.0333716979,,0.9369583594,0.2328147413
(e) {5, 37},35,0.0333015010,,0.9369583594,0.2328147413
(e) {5, 37},37,0.0000000000,,0.9369583594,0.2328147413
(e) {5, 37},39,0.0330194803,,0.9369583594,0.2328147413
(e) {5, 37},41,0.0331938029,,0.9369583594,0.2328147413
(e) {5, 37},43,0.0333760359,,0.9369583594,0.2328147413
(e) {5, 37},45,0.0330735582,,0.9369583594,0.2328147413
(e) {5, 37},47,0.0332192749,,0.9369583594,0.2328147413
(e) {5, 37},49,0.0338001123,,0.9369583594,0.2328147413
(e) {5, 37},51,0.0330221565,,0.9369583594,0.2328147413
(e) {5, 37},53,0.0332226281,,0.9369583594,0.2328147413
(e) {5, 37},55,0.0332988248,,0.9369583594,0.2328147413
(e) {5, 37},57,0.0327653886,,0.9369583594,0.2328147413
(e) {5, 37},59,0.0327985517,,0.9369583594,0.2328147413
(e) {5, 37},61,0.0336510424,,0.9369583594,0.2328147413
(e) {5, 37},63,0.0327908606,,0.9369583594,0.2328147413
(e) {5, 37},1_mod32,,0.0678607738,,
(e) {5, 37},3_mod32,,0.0666030020,,
(e) {5, 37},5_mod32,,0.0000000000,,
(e) {5, 37},7_mod32,,0.0665976496,,
(e) {5, 37},9_mod32,,0.0663876059,,
(e) {5, 37},11_mod32,,0.0670314164,,
(e) {5, 37},13_mod32,,0.0667058054,,
(e) {5, 37},15_mod32,,0.0664385499,,
(e) {5, 37},17_mod32,,0.0676002245,,
(e) {5, 37},19_mod32,,0.0666030020,,
(e) {5, 37},21_mod32,,0.0667246006,,
(e) {5, 37},23_mod32,,0.0665976496,,
(e) {5, 37},25_mod32,,0.0658101217,,
(e) {5, 37},27_mod32,,0.0658764480,,
(e) {5, 37},29_mod32,,0.0673020848,,
(e) {5, 37},31_mod32,,0.0658610657,,
(f) {1, 5, 21},1,0.0000000000,,0.9160213942,0.2254351289
