from_state,to_state,K_derived,K_empirical,diff
(13|10),(13|8),0.041452,0.024183,+0.017269
(13|10),(13|9),0.082904,0.060381,+0.022523
(13|10),(17|8),0.041805,0.059921,-0.018116
(13|10),(17|9),0.083609,0.060333,+0.023277
(13|10),(21|8),0.041833,0.035173,+0.006660
(13|10),(21|9),0.083667,0.122374,-0.038708
(13|10),(25|8),0.042045,0.018233,+0.023812
(13|10),(25|9),0.084089,0.022196,+0.061893
(13|10),(29|8),0.041908,0.009444,+0.032464
(13|10),(29|9),0.083816,0.100752,-0.016936
(13|11),(1|9),0.041435,0.026586,+0.014850
(13|11),(1|10),0.082871,0.053578,+0.029292
(13|11),(5|9),0.041281,0.030815,+0.010466
(13|11),(5|10),0.082561,0.085442,-0.002881
(13|11),(9|9),0.041575,0.019984,+0.021591
(13|11),(9|10),0.083149,0.051997,+0.031153
(13|11),(13|9),0.041452,0.001438,+0.040014
(13|11),(13|10),0.082904,0.085694,-0.002790
(13|11),(17|9),0.041805,0.033165,+0.008640
(13|11),(17|10),0.083609,0.134619,-0.051010
(13|11),(21|9),0.041833,0.078004,-0.036170
(13|11),(21|10),0.083667,0.079780,+0.003887
(13|11),(25|9),0.042045,0.028551,+0.013493
(13|11),(25|10),0.084089,0.119106,-0.035016
(13|11),(29|9),0.041908,0.075173,-0.033265
(13|11),(29|10),0.083816,0.096067,-0.012251
(13|12),(1|10),0.041435,0.063241,-0.021805
(13|12),(1|11),0.082871,0.042066,+0.040805
(13|12),(5|10),0.041281,0.027873,+0.013407
(13|12),(5|11),0.082561,0.071564,+0.010997
(13|12),(9|10),0.041575,0.021890,+0.019684
(13|12),(9|11),0.083149,0.129272,-0.046122
(13|12),(13|10),0.041452,0.036286,+0.005166
(13|12),(13|11),0.082904,0.037840,+0.045064
(13|12),(17|10),0.041805,0.050384,-0.008580
(13|12),(17|11),0.083609,0.049716,+0.033893
(13|12),(21|10),0.041833,0.039550,+0.002283
(13|12),(21|11),0.083667,0.040664,+0.043003
(13|12),(25|10),0.042045,0.116690,-0.074645
(13|12),(25|11),0.084089,0.090702,-0.006613
(13|12),(29|10),0.041908,0.133194,-0.091286
(13|12),(29|11),0.083816,0.049067,+0.034749
(13|13),(1|11),0.041435,0.043845,-0.002410
(13|13),(1|12),0.082871,0.095492,-0.012621
(13|13),(5|11),0.041281,0.037139,+0.004141
(13|13),(5|12),0.082561,0.078957,+0.003604
(13|13),(9|11),0.041575,0.035557,+0.006017
(13|13),(9|12),0.083149,0.082510,+0.000639
(13|13),(13|11),0.041452,0.055215,-0.013763
(13|13),(13|12),0.082904,0.100550,-0.017646
(13|13),(17|11),0.041805,0.028672,+0.013132
(13|13),(17|12),0.083609,0.048555,+0.035054
(13|13),(21|11),0.041833,0.103386,-0.061552
(13|13),(21|12),0.083667,0.044193,+0.039473
(13|13),(25|11),0.042045,0.067009,-0.024965
(13|13),(25|12),0.084089,0.063083,+0.021006
(13|13),(29|11),0.041908,0.045227,-0.003319
(13|13),(29|12),0.083816,0.070608,+0.013208
(13|14),(1|12),0.041435,0.054459,-0.013023
(13|14),(1|13),0.082871,0.054266,+0.028605
(13|14),(5|12),0.041281,0.059099,-0.017818
(13|14),(5|13),0.082561,0.149747,-0.067185
(13|14),(9|12),0.041575,0.044275,-0.002700
(13|14),(9|13),0.083149,0.090088,-0.006939
(13|14),(13|12),0.041452,0.038481,+0.002971
(13|14),(13|13),0.082904,0.053466,+0.029438
(13|14),(17|12),0.041805,0.046246,-0.004442
(13|14),(17|13),0.083609,0.066944,+0.016666
(13|14),(21|12),0.041833,0.038590,+0.003244
(13|14),(21|13),0.083667,0.057461,+0.026206
(13|14),(25|12),0.042045,0.044468,-0.002423
(13|14),(25|13),0.084089,0.052595,+0.031494
(13|14),(29|12),0.041908,0.057814,-0.015906
(13|14),(29|13),0.083816,0.092003,-0.008187
(13|15),(1|13),0.041435,0.031788,+0.009648
(13|15),(1|14),0.082871,0.067409,+0.015461
(13|15),(5|13),0.041281,0.047182,-0.005901
(13|15),(5|14),0.082561,0.072387,+0.010174
(13|15),(9|13),0.041575,0.058476,-0.016901
(13|15),(9|14),0.083149,0.068562,+0.014587
(13|15),(13|13),0.041452,0.039993,+0.001459
(13|15),(13|14),0.082904,0.070416,+0.012488
(13|15),(17|13),0.041805,0.047033,-0.005228
(13|15),(17|14),0.083609,0.104844,-0.021235
(13|15),(21|13),0.041833,0.079435,-0.037602
(13|15),(21|14),0.083667,0.069263,+0.014404
(13|15),(25|13),0.042045,0.052042,-0.009998
(13|15),(25|14),0.084089,0.073811,+0.010278
(13|15),(29|13),0.041908,0.031259,+0.010649
(13|15),(29|14),0.083816,0.086099,-0.002283
(13|16),(1|14),0.041435,0.040939,+0.000496
(13|16),(1|15),0.082871,0.066612,+0.016258
(13|16),(5|14),0.041281,0.048587,-0.007306
(13|16),(5|15),0.082561,0.058027,+0.024535
(13|16),(9|14),0.041575,0.048222,-0.006647
(13|16),(9|15),0.083149,0.058853,+0.024297
(13|16),(13|14),0.041452,0.044805,-0.003353
(13|16),(13|15),0.082904,0.072335,+0.010569
(13|16),(17|14),0.041805,0.129888,-0.088084
(13|16),(17|15),0.083609,0.050119,+0.033491
(13|16),(21|14),0.041833,0.038425,+0.003408
(13|16),(21|15),0.083667,0.069596,+0.014071
(13|16),(25|14),0.042045,0.076040,-0.033996
(13|16),(25|15),0.084089,0.087056,-0.002967
(13|16),(29|14),0.041908,0.046313,-0.004405
(13|16),(29|15),0.083816,0.064182,+0.019634
(13|17),(1|15),0.041435,0.046387,-0.004951
(13|17),(1|16),0.082871,0.069160,+0.013711
(13|17),(5|15),0.041281,0.049505,-0.008225
(13|17),(5|16),0.082561,0.072706,+0.009856
(13|17),(9|15),0.041575,0.049937,-0.008363
(13|17),(9|16),0.083149,0.070517,+0.012633
(13|17),(13|15),0.041452,0.052759,-0.011307
(13|17),(13|16),0.082904,0.075048,+0.007856
(13|17),(17|15),0.041805,0.055547,-0.013742
(13|17),(17|16),0.083609,0.069271,+0.014338
(13|17),(21|15),0.041833,0.045341,-0.003508
(13|17),(21|16),0.083667,0.090905,-0.007239
(13|17),(25|15),0.042045,0.058470,-0.016426
(13|17),(25|16),0.084089,0.070461,+0.013628
(13|17),(29|15),0.041908,0.054501,-0.012593
(13|17),(29|16),0.083816,0.069485,+0.014331
(13|18),(1|16),0.041435,0.048220,-0.006784
(13|18),(1|17),0.082871,0.109784,-0.026913
(13|18),(5|16),0.041281,0.058071,-0.016791
(13|18),(5|17),0.082561,0.068458,+0.014104
(13|18),(9|16),0.041575,0.053636,-0.012062
(13|18),(9|17),0.083149,0.070320,+0.012829
(13|18),(13|16),0.041452,0.047282,-0.005830
(13|18),(13|17),0.082904,0.067805,+0.015099
(13|18),(17|16),0.041805,0.044617,-0.002813
(13|18),(17|17),0.083609,0.066293,+0.017317
(13|18),(21|16),0.041833,0.043219,-0.001386
(13|18),(21|17),0.083667,0.083590,+0.000077
(13|18),(25|16),0.042045,0.053474,-0.011429
(13|18),(25|17),0.084089,0.070522,+0.013568
(13|18),(29|16),0.041908,0.043644,-0.001736
(13|18),(29|17),0.083816,0.071065,+0.012751
(13|19),(1|17),0.041435,0.062178,-0.020742
(13|19),(1|18),0.082871,0.077149,+0.005722
(13|19),(5|17),0.041281,0.049220,-0.007939
(13|19),(5|18),0.082561,0.066979,+0.015582
(13|19),(9|17),0.041575,0.047792,-0.006217
(13|19),(9|18),0.083149,0.071118,+0.012031
(13|19),(13|17),0.041452,0.054922,-0.013470
(13|19),(13|18),0.082904,0.068267,+0.014637
(13|19),(17|17),0.041805,0.048549,-0.006744
(13|19),(17|18),0.083609,0.073812,+0.009798
(13|19),(21|17),0.041833,0.048873,-0.007040
(13|19),(21|18),0.083667,0.077581,+0.006085
(13|19),(25|17),0.042045,0.051922,-0.009877
(13|19),(25|18),0.084089,0.074496,+0.009593
(13|19),(29|17),0.041908,0.057129,-0.015221
(13|19),(29|18),0.083816,0.070015,+0.013801
(13|20),(1|18),0.041435,0.055796,-0.014361
(13|20),(1|19),0.082871,0.072641,+0.010230
(13|20),(5|18),0.041281,0.056199,-0.014918
(13|20),(5|19),0.082561,0.074179,+0.008382
(13|20),(9|18),0.041575,0.053087,-0.011512
(13|20),(9|19),0.083149,0.070398,+0.012752
(13|20),(13|18),0.041452,0.048274,-0.006822
(13|20),(13|19),0.082904,0.072867,+0.010037
(13|20),(17|18),0.041805,0.050911,-0.009106
(13|20),(17|19),0.083609,0.070606,+0.013004
(13|20),(21|18),0.041833,0.050902,-0.009068
(13|20),(21|19),0.083667,0.079268,+0.004399
(13|20),(25|18),0.042045,0.048531,-0.006487
(13|20),(25|19),0.084089,0.071370,+0.012719
(13|20),(29|18),0.041908,0.050391,-0.008483
(13|20),(29|19),0.083816,0.074582,+0.009234
(13|21),(1|19),0.041435,0.053908,-0.012472
(13|21),(1|20),0.082871,0.072142,+0.010729
(13|21),(5|19),0.041281,0.053145,-0.011864
(13|21),(5|20),0.082561,0.072343,+0.010219
(13|21),(9|19),0.041575,0.050673,-0.009099
(13|21),(9|20),0.083149,0.072137,+0.011012
(13|21),(13|19),0.041452,0.051829,-0.010377
(13|21),(13|20),0.082904,0.075564,+0.007340
(13|21),(17|19),0.041805,0.050593,-0.008788
(13|21),(17|20),0.083609,0.073926,+0.009683
(13|21),(21|19),0.041833,0.053515,-0.011682
(13|21),(21|20),0.083667,0.074346,+0.009321
(13|21),(25|19),0.042045,0.049357,-0.007312
(13|21),(25|20),0.084089,0.072164,+0.011925
(13|21),(29|19),0.041908,0.050414,-0.008506
(13|21),(29|20),0.083816,0.073944,+0.009872
(13|22),(1|20),0.041435,0.053773,-0.012337
(13|22),(1|21),0.082871,0.073181,+0.009690
(13|22),(5|20),0.041281,0.049317,-0.008036
(13|22),(5|21),0.082561,0.074249,+0.008312
(13|22),(9|20),0.041575,0.050488,-0.008913
(13|22),(9|21),0.083149,0.074605,+0.008544
(13|22),(13|20),0.041452,0.051089,-0.009637
(13|22),(13|21),0.082904,0.077111,+0.005793
(13|22),(17|20),0.041805,0.053292,-0.011487
(13|22),(17|21),0.083609,0.071694,+0.011915
(13|22),(21|20),0.041833,0.051716,-0.009883
(13|22),(21|21),0.083667,0.069713,+0.013953
(13|22),(25|20),0.042045,0.051044,-0.008999
(13|22),(25|21),0.084089,0.072571,+0.011518
(13|22),(29|20),0.041908,0.052210,-0.010302
(13|22),(29|21),0.083816,0.073946,+0.009870
(13|23),(1|21),0.041435,0.052891,-0.011455
(13|23),(1|22),0.082871,0.074821,+0.008050
(13|23),(5|21),0.041281,0.050511,-0.009230
(13|23),(5|22),0.082561,0.075782,+0.006780
(13|23),(9|21),0.041575,0.050965,-0.009390
(13|23),(9|22),0.083149,0.074111,+0.009038
(13|23),(13|21),0.041452,0.051670,-0.010218
(13|23),(13|22),0.082904,0.071291,+0.011613
(13|23),(17|21),0.041805,0.051679,-0.009874
(13|23),(17|22),0.083609,0.071317,+0.012292
(13|23),(21|21),0.041833,0.050890,-0.009056
(13|23),(21|22),0.083667,0.074323,+0.009344
(13|23),(25|21),0.042045,0.052349,-0.010304
(13|23),(25|22),0.084089,0.073415,+0.010674
(13|23),(29|21),0.041908,0.052106,-0.010198
(13|23),(29|22),0.083816,0.071881,+0.011935
(13|24),(1|22),0.041435,0.052953,-0.011517
(13|24),(1|23),0.082871,0.072266,+0.010605
(13|24),(5|22),0.041281,0.051690,-0.010409
(13|24),(5|23),0.082561,0.072761,+0.009800
(13|24),(9|22),0.041575,0.050526,-0.008951
(13|24),(9|23),0.083149,0.072418,+0.010732
(13|24),(13|22),0.041452,0.052007,-0.010555
(13|24),(13|23),0.082904,0.072900,+0.010004
(13|24),(17|22),0.041805,0.052274,-0.010470
(13|24),(17|23),0.083609,0.071521,+0.012088
(13|24),(21|22),0.041833,0.051177,-0.009344
(13|24),(21|23),0.083667,0.074653,+0.009014
(13|24),(25|22),0.042045,0.052506,-0.010462
(13|24),(25|23),0.084089,0.073167,+0.010922
(13|24),(29|22),0.041908,0.051837,-0.009929
(13|24),(29|23),0.083816,0.075344,+0.008472
(13|25),(1|23),0.041435,0.051719,-0.010284
(13|25),(1|24),0.082871,0.074522,+0.008349
(13|25),(5|23),0.041281,0.052488,-0.011207
(13|25),(5|24),0.082561,0.074032,+0.008530
(13|25),(9|23),0.041575,0.052285,-0.010710
(13|25),(9|24),0.083149,0.071823,+0.011326
(13|25),(13|23),0.041452,0.051896,-0.010444
(13|25),(13|24),0.082904,0.073643,+0.009261
(13|25),(17|23),0.041805,0.050672,-0.008868
(13|25),(17|24),0.083609,0.071054,+0.012555
(13|25),(21|23),0.041833,0.051163,-0.009329
(13|25),(21|24),0.083667,0.073921,+0.009745
(13|25),(25|23),0.042045,0.051163,-0.009118
(13|25),(25|24),0.084089,0.072782,+0.011308
(13|25),(29|23),0.041908,0.053128,-0.011220
(13|25),(29|24),0.083816,0.073709,+0.010107
(13|26),(1|24),0.041435,0.052219,-0.010784
(13|26),(1|25),0.082871,0.072673,+0.010198
(13|26),(5|24),0.041281,0.051483,-0.010203
(13|26),(5|25),0.082561,0.073679,+0.008882
(13|26),(9|24),0.041575,0.052654,-0.011079
(13|26),(9|25),0.083149,0.072415,+0.010734
(13|26),(13|24),0.041452,0.052228,-0.010776
(13|26),(13|25),0.082904,0.073874,+0.009030
(13|26),(17|24),0.041805,0.051492,-0.009687
(13|26),(17|25),0.083609,0.073852,+0.009757
(13|26),(21|24),0.041833,0.050867,-0.009033
(13|26),(21|25),0.083667,0.071936,+0.011730
(13|26),(25|24),0.042045,0.051816,-0.009771
(13|26),(25|25),0.084089,0.073338,+0.010752
(13|26),(29|24),0.041908,0.051563,-0.009655
(13|26),(29|25),0.083816,0.073910,+0.009906
(13|27),(1|25),0.041435,0.051700,-0.010265
(13|27),(1|26),0.082871,0.073311,+0.009560
(13|27),(5|25),0.041281,0.051174,-0.009894
(13|27),(5|26),0.082561,0.073655,+0.008906
(13|27),(9|25),0.041575,0.052327,-0.010752
(13|27),(9|26),0.083149,0.074591,+0.008558
(13|27),(13|25),0.041452,0.050530,-0.009078
(13|27),(13|26),0.082904,0.073041,+0.009863
(13|27),(17|25),0.041805,0.052177,-0.010372
(13|27),(17|26),0.083609,0.072034,+0.011575
(13|27),(21|25),0.041833,0.051355,-0.009522
(13|27),(21|26),0.083667,0.074070,+0.009597
(13|27),(25|25),0.042045,0.052230,-0.010185
(13|27),(25|26),0.084089,0.073125,+0.010964
(13|27),(29|25),0.041908,0.052985,-0.011077
(13|27),(29|26),0.083816,0.071694,+0.012122
(13|28),(1|26),0.041435,0.051760,-0.010325
(13|28),(1|27),0.082871,0.073362,+0.009509
(13|28),(5|26),0.041281,0.052626,-0.011345
(13|28),(5|27),0.082561,0.072133,+0.010429
(13|28),(9|26),0.041575,0.051863,-0.010288
(13|28),(9|27),0.083149,0.072963,+0.010187
(13|28),(13|26),0.041452,0.052453,-0.011001
(13|28),(13|27),0.082904,0.072958,+0.009946
(13|28),(17|26),0.041805,0.051987,-0.010182
(13|28),(17|27),0.083609,0.072927,+0.010682
(13|28),(21|26),0.041833,0.052395,-0.010562
(13|28),(21|27),0.083667,0.072071,+0.011596
(13|28),(25|26),0.042045,0.050997,-0.008952
(13|28),(25|27),0.084089,0.073034,+0.011056
(13|28),(29|26),0.041908,0.052875,-0.010967
(13|28),(29|27),0.083816,0.073597,+0.010219
(13|29),(1|27),0.041435,0.051609,-0.010173
(13|29),(1|28),0.082871,0.073698,+0.009173
(13|29),(5|27),0.041281,0.052304,-0.011023
(13|29),(5|28),0.082561,0.073193,+0.009368
(13|29),(9|27),0.041575,0.052414,-0.010840
(13|29),(9|28),0.083149,0.072330,+0.010819
(13|29),(13|27),0.041452,0.051622,-0.010170
(13|29),(13|28),0.082904,0.072972,+0.009932
(13|29),(17|27),0.041805,0.051865,-0.010061
(13|29),(17|28),0.083609,0.072405,+0.011204
(13|29),(21|27),0.041833,0.052304,-0.010470
(13|29),(21|28),0.083667,0.073291,+0.010376
(13|29),(25|27),0.042045,0.051281,-0.009236
(13|29),(25|28),0.084089,0.073220,+0.010869
(13|29),(29|27),0.041908,0.052313,-0.010405
(13|29),(29|28),0.083816,0.073180,+0.010636
(13|30),(1|28),0.041435,0.053061,-0.011625
(13|30),(1|29),0.082871,0.073152,+0.009718
(13|30),(5|28),0.041281,0.051423,-0.010142
(13|30),(5|29),0.082561,0.072815,+0.009746
(13|30),(9|28),0.041575,0.052750,-0.011175
(13|30),(9|29),0.083149,0.071758,+0.011391
(13|30),(13|28),0.041452,0.051374,-0.009922
(13|30),(13|29),0.082904,0.072335,+0.010569
(13|30),(17|28),0.041805,0.052297,-0.010493
(13|30),(17|29),0.083609,0.072828,+0.010781
(13|30),(21|28),0.041833,0.052355,-0.010522
(13|30),(21|29),0.083667,0.072189,+0.011478
(13|30),(25|28),0.042045,0.051196,-0.009152
(13|30),(25|29),0.084089,0.074875,+0.009215
(13|30),(29|28),0.041908,0.052812,-0.010904
(13|30),(29|29),0.083816,0.072779,+0.011037
(13|31),(1|29),0.041435,0.052012,-0.010576
(13|31),(1|30),0.082871,0.072536,+0.010334
(13|31),(5|29),0.041281,0.052211,-0.010930
(13|31),(5|30),0.082561,0.073824,+0.008737
(13|31),(9|29),0.041575,0.052308,-0.010733
(13|31),(9|30),0.083149,0.072488,+0.010662
(13|31),(13|29),0.041452,0.052308,-0.010856
(13|31),(13|30),0.082904,0.072550,+0.010354
(13|31),(17|29),0.041805,0.053012,-0.011207
(13|31),(17|30),0.083609,0.073054,+0.010555
(13|31),(21|29),0.041833,0.051228,-0.009395
(13|31),(21|30),0.083667,0.072337,+0.011329
(13|31),(25|29),0.042045,0.052104,-0.010060
(13|31),(25|30),0.084089,0.072877,+0.011212
(13|31),(29|29),0.041908,0.052038,-0.010130
(13|31),(29|30),0.083816,0.073112,+0.010704
(13|32),(1|30),0.041435,0.061335,-0.019900
(13|32),(1|31),0.082871,0.064752,+0.018118
(13|32),(5|30),0.041281,0.060497,-0.019216
(13|32),(5|31),0.082561,0.063021,+0.019540
(13|32),(9|30),0.041575,0.061366,-0.019791
(13|32),(9|31),0.083149,0.065439,+0.017711
(13|32),(13|30),0.041452,0.060085,-0.018633
(13|32),(13|31),0.082904,0.064203,+0.018701
(13|32),(17|30),0.041805,0.060756,-0.018951
(13|32),(17|31),0.083609,0.063532,+0.020077
(13|32),(21|30),0.041833,0.061152,-0.019319
(13|32),(21|31),0.083667,0.063776,+0.019891
(13|32),(25|30),0.042045,0.061084,-0.019039
(13|32),(25|31),0.084089,0.064035,+0.020054
(13|32),(29|30),0.041908,0.059955,-0.018047
(13|32),(29|31),0.083816,0.065012,+0.018804
(13|33),(1|31),0.041435,0.064510,-0.023075
(13|33),(1|32),0.082871,0.062836,+0.020035
(13|33),(5|31),0.041281,0.061503,-0.020222
(13|33),(5|32),0.082561,0.062569,+0.019992
(13|33),(9|31),0.041575,0.062332,-0.020758
(13|33),(9|32),0.083149,0.062406,+0.020743
(13|33),(13|31),0.041452,0.060318,-0.018866
(13|33),(13|32),0.082904,0.063162,+0.019742
(13|33),(17|31),0.041805,0.063118,-0.021313
(13|33),(17|32),0.083609,0.063132,+0.020477
(13|33),(21|31),0.041833,0.062895,-0.021062
(13|33),(21|32),0.083667,0.062895,+0.020771
(13|33),(25|31),0.042045,0.062229,-0.020184
(13|33),(25|32),0.084089,0.061014,+0.023075
(13|33),(29|31),0.041908,0.061992,-0.020084
(13|33),(29|32),0.083816,0.063088,+0.020728
(13|34),(1|32),0.041435,0.064694,-0.023258
(13|34),(1|33),0.082871,0.063747,+0.019124
(13|34),(5|32),0.041281,0.062208,-0.020927
(13|34),(5|33),0.082561,0.063214,+0.019347
(13|34),(9|32),0.041575,0.061379,-0.019804
(13|34),(9|33),0.083149,0.060136,+0.023013
(13|34),(13|32),0.041452,0.062829,-0.021377
(13|34),(13|33),0.082904,0.064605,+0.018299
(13|34),(17|32),0.041805,0.061912,-0.020107
(13|34),(17|33),0.083609,0.062237,+0.021372
(13|34),(21|32),0.041833,0.062267,-0.020434
(13|34),(21|33),0.083667,0.061793,+0.021873
(13|34),(25|32),0.042045,0.061409,-0.019364
(13|34),(25|33),0.084089,0.062237,+0.021852
(13|34),(29|32),0.041908,0.062740,-0.020832
(13|34),(29|33),0.083816,0.062592,+0.021224
(13|35),(1|33),0.041435,0.059423,-0.017987
(13|35),(1|34),0.082871,0.062238,+0.020633
(13|35),(5|33),0.041281,0.061879,-0.020598
(13|35),(5|34),0.082561,0.061459,+0.021102
(13|35),(9|33),0.041575,0.060920,-0.019345
(13|35),(9|34),0.083149,0.063975,+0.019174
(13|35),(13|33),0.041452,0.063735,-0.022283
(13|35),(13|34),0.082904,0.061160,+0.021744
(13|35),(17|33),0.041805,0.062178,-0.020373
(13|35),(17|34),0.083609,0.063915,+0.019694
(13|35),(21|33),0.041833,0.059602,-0.017769
(13|35),(21|34),0.083667,0.064035,+0.019632
(13|35),(25|33),0.042045,0.064574,-0.022529
(13|35),(25|34),0.084089,0.066551,+0.017538
(13|35),(29|33),0.041908,0.062418,-0.020510
(13|35),(29|34),0.083816,0.061938,+0.021878
(13|36),(1|34),0.041435,0.056962,-0.015527
(13|36),(1|35),0.082871,0.065918,+0.016952
(13|36),(5|34),0.041281,0.062216,-0.020936
(13|36),(5|35),0.082561,0.063769,+0.018793
(13|36),(9|34),0.041575,0.060067,-0.018492
(13|36),(9|35),0.083149,0.062694,+0.020455
(13|36),(13|34),0.041452,0.064127,-0.022675
(13|36),(13|35),0.082904,0.060664,+0.022240
(13|36),(17|34),0.041805,0.067710,-0.025905
(13|36),(17|35),0.083609,0.065799,+0.017810
(13|36),(21|34),0.041833,0.062216,-0.020383
(13|36),(21|35),0.083667,0.057679,+0.025988
(13|36),(25|34),0.042045,0.066038,-0.023993
(13|36),(25|35),0.084089,0.061739,+0.022351
(13|36),(29|34),0.041908,0.061739,-0.019831
(13|36),(29|35),0.083816,0.060664,+0.023152
(13|37),(1|35),0.041435,0.061932,-0.020497
(13|37),(1|36),0.082871,0.066714,+0.016156
(13|37),(5|35),0.041281,0.061454,-0.020173
(13|37),(5|36),0.082561,0.064323,+0.018238
(13|37),(9|35),0.041575,0.059302,-0.017727
(13|37),(9|36),0.083149,0.066714,+0.016435
(13|37),(13|35),0.041452,0.059063,-0.017611
(13|37),(13|36),0.082904,0.065758,+0.017146
(13|37),(17|35),0.041805,0.061693,-0.019888
(13|37),(17|36),0.083609,0.056432,+0.027177
(13|37),(21|35),0.041833,0.063606,-0.021773
(13|37),(21|36),0.083667,0.067910,+0.015757
(13|37),(25|35),0.042045,0.057150,-0.015105
(13|37),(25|36),0.084089,0.063606,+0.020483
(13|37),(29|35),0.041908,0.063367,-0.021459
(13|37),(29|36),0.083816,0.060976,+0.022840
(13|38),(1|36),0.041435,0.066795,-0.025359
(13|38),(1|37),0.082871,0.067275,+0.015595
(13|38),(5|36),0.041281,0.059587,-0.018306
(13|38),(5|37),0.082561,0.064873,+0.017689
(13|38),(9|36),0.041575,0.054301,-0.012726
(13|38),(9|37),0.083149,0.064873,+0.018277
(13|38),(13|36),0.041452,0.071600,-0.030148
(13|38),(13|37),0.082904,0.068717,+0.014187
(13|38),(17|36),0.041805,0.065353,-0.023549
(13|38),(17|37),0.083609,0.054301,+0.029309
(13|38),(21|36),0.041833,0.060548,-0.018714
(13|38),(21|37),0.083667,0.052859,+0.030807
(13|38),(25|36),0.042045,0.070159,-0.028114
(13|38),(25|37),0.084089,0.064873,+0.019217
(13|38),(29|36),0.041908,0.061028,-0.019120
(13|38),(29|37),0.083816,0.052859,+0.030957
(13|39),(1|37),0.041435,0.064762,-0.023327
(13|39),(1|38),0.082871,0.072381,+0.010490
(13|39),(5|37),0.041281,0.050476,-0.009196
(13|39),(5|38),0.082561,0.072381,+0.010180
(13|39),(9|37),0.041575,0.058095,-0.016521
(13|39),(9|38),0.083149,0.060000,+0.023149
(13|39),(13|37),0.041452,0.046667,-0.005215
(13|39),(13|38),0.082904,0.066667,+0.016237
(13|39),(17|37),0.041805,0.051429,-0.009624
(13|39),(17|38),0.083609,0.072381,+0.011228
(13|39),(21|37),0.041833,0.060000,-0.018167
(13|39),(21|38),0.083667,0.070476,+0.013190
(13|39),(25|37),0.042045,0.071429,-0.029384
(13|39),(25|38),0.084089,0.060000,+0.024089
(13|39),(29|37),0.041908,0.060952,-0.019044
(13|39),(29|38),0.083816,0.061905,+0.021911
(13|40),(1|38),0.041435,0.066667,-0.025231
(13|40),(1|39),0.082871,0.066667,+0.016204
(13|40),(5|38),0.041281,0.078095,-0.036815
(13|40),(5|39),0.082561,0.062857,+0.019704
(13|40),(9|38),0.041575,0.053333,-0.011759
(13|40),(9|39),0.083149,0.041905,+0.041245
(13|40),(13|38),0.041452,0.055238,-0.013786
(13|40),(13|39),0.082904,0.055238,+0.027666
(13|40),(17|38),0.041805,0.066667,-0.024862
(13|40),(17|39),0.083609,0.062857,+0.020752
(13|40),(21|38),0.041833,0.066667,-0.024833
(13|40),(21|39),0.083667,0.060952,+0.022714
(13|40),(25|38),0.042045,0.062857,-0.020812
(13|40),(25|39),0.084089,0.068571,+0.015518
(13|40),(29|38),0.041908,0.076190,-0.034282
(13|40),(29|39),0.083816,0.055238,+0.028578
(13|41),(1|39),0.041435,0.068000,-0.026565
(13|41),(1|40),0.082871,0.072000,+0.010871
(13|41),(5|39),0.041281,0.068000,-0.026719
(13|41),(5|40),0.082561,0.068000,+0.014561
(13|41),(9|39),0.041575,0.076000,-0.034425
(13|41),(9|40),0.083149,0.080000,+0.003149
(13|41),(13|39),0.041452,0.064000,-0.022548
(13|41),(13|40),0.082904,0.044000,+0.038904
(13|41),(17|39),0.041805,0.060000,-0.018195
(13|41),(17|40),0.083609,0.048000,+0.035609
(13|41),(21|39),0.041833,0.084000,-0.042167
(13|41),(21|40),0.083667,0.040000,+0.043667
(13|41),(25|39),0.042045,0.052000,-0.009955
(13|41),(25|40),0.084089,0.068000,+0.016089
(13|41),(29|39),0.041908,0.052000,-0.010092
(13|41),(29|40),0.083816,0.056000,+0.027816
(13|42),(1|40),0.041435,0.038760,+0.002676
(13|42),(1|41),0.082871,0.069767,+0.013103
(13|42),(5|40),0.041281,0.062016,-0.020735
(13|42),(5|41),0.082561,0.054264,+0.028298
(13|42),(9|40),0.041575,0.116279,-0.074704
(13|42),(9|41),0.083149,0.046512,+0.036638
(13|42),(13|40),0.041452,0.046512,-0.005060
(13|42),(13|41),0.082904,0.046512,+0.036392
(13|42),(17|40),0.041805,0.062016,-0.020211
(13|42),(17|41),0.083609,0.077519,+0.006090
(13|42),(21|40),0.041833,0.069767,-0.027934
(13|42),(21|41),0.083667,0.069767,+0.013899
(13|42),(25|40),0.042045,0.077519,-0.035475
(13|42),(25|41),0.084089,0.054264,+0.029826
(13|42),(29|40),0.041908,0.062016,-0.020108
(13|42),(29|41),0.083816,0.046512,+0.037304
(13|43),(1|41),0.041435,0.043478,-0.002043
(13|43),(1|42),0.082871,0.043478,+0.039392
(13|43),(5|41),0.041281,0.057971,-0.016690
(13|43),(5|42),0.082561,0.043478,+0.039083
(13|43),(9|41),0.041575,0.072464,-0.030889
(13|43),(9|42),0.083149,0.043478,+0.039671
(13|43),(13|41),0.041452,0.014493,+0.026959
(13|43),(13|42),0.082904,0.028986,+0.053918
(13|43),(17|41),0.041805,0.072464,-0.030659
(13|43),(17|42),0.083609,0.014493,+0.069117
(13|43),(21|41),0.041833,0.159420,-0.117587
(13|43),(21|42),0.083667,0.043478,+0.040188
(13|43),(25|41),0.042045,0.086957,-0.044912
(13|43),(25|42),0.084089,0.057971,+0.026118
(13|43),(29|41),0.041908,0.144928,-0.103020
