r,N_r,ell,t_label,t_val,eta,J_size,max_concentration,concentration_ratio,entropy,entropy_normalized,r_eff,r_eff_ratio,low_freq_mass,classification
12,354294,1,1,1.0,0.5,148651,4.693836768248387e-05,6.9774352943689095,11.572964111828114,0.9717539363091395,92843,0.6245703022515826,0.25168471163110484,β
12,354294,2,1,1.0,0.5,148651,4.174685421207851e-05,6.205711625479682,11.572761387567724,0.9717369140410226,92924,0.6251152027231569,0.2504524641621727,β
12,354294,3,1,1.0,0.5,148651,4.2925266467067405e-05,6.380883785596037,11.572649369217816,0.9717275081298481,92982,0.6255053783694694,0.24987670275127702,β
12,354294,0,1,1.0,0.25,71520,0.0001094922302123882,7.830884304790004,10.78130762096971,0.9645344176848927,42276,0.5911073825503356,0.25172452824323505,β
12,354294,1,1,1.0,0.25,71520,0.00010225481133630362,7.313264106772435,10.782575531422506,0.9646478494979212,42301,0.5914569351230425,0.25197340140412544,β
12,354294,2,1,1.0,0.25,71520,9.211957320718874e-05,6.588391875778139,10.78024887833412,0.9644396987744045,42217,0.5902824384787472,0.2514010768431343,β
12,354294,3,1,1.0,0.25,71520,0.0001094922302123882,7.830884304790004,10.78130762096971,0.9645344176848927,42276,0.5911073825503356,0.25172452824323505,β
12,354294,0,2,2.0,0.5,148651,3.6138458157157e-05,5.372017943519546,11.545700413311156,0.9694646691779021,87705,0.5900061217213474,0.25119893281314015,β
12,354294,1,2,2.0,0.5,148651,3.5127085503848126e-05,5.221676387232528,11.548284856254506,0.9696816786301996,87833,0.5908671990097611,0.2513956055981901,β
12,354294,2,2,2.0,0.5,148651,3.303314357170594e-05,4.91040982507766,11.547702975287429,0.9696328194861845,87723,0.5901272107150305,0.24850104350549582,β
12,354294,3,2,2.0,0.5,148651,3.6138458157157e-05,5.372017943519546,11.545700413311156,0.9694646691779021,87705,0.5900061217213474,0.25119893281314015,β
12,354294,0,2,2.0,0.25,71520,0.00010487986846449724,7.5010081925808425,10.78438954218322,0.9648101374016033,42103,0.5886884787472035,0.24756100698841982,β
12,354294,1,2,2.0,0.25,71520,0.00011453115764502046,8.191268394771862,10.779515160441886,0.9643740577422762,41936,0.5863534675615213,0.2513074418612834,β
12,354294,2,2,2.0,0.25,71520,0.00010250109595792947,7.3308783829111155,10.780939092051142,0.9645014477671083,42023,0.5875699105145414,0.24641301603067195,β
12,354294,3,2,2.0,0.25,71520,0.00010487986846449724,7.5010081925808425,10.78438954218322,0.9648101374016033,42103,0.5886884787472035,0.24756100698841982,β
12,354294,0,3,3.0,0.5,148651,3.780865125326282e-05,5.620293817448771,11.546219450112863,0.9695082514486388,87594,0.5892594062603009,0.25044373478951376,β
12,354294,1,3,3.0,0.5,148651,3.675738813542447e-05,5.464022503718983,11.54734968865958,0.9696031548585282,87699,0.5899657587234529,0.25034671662352487,β
12,354294,2,3,3.0,0.5,148651,4.071993164532471e-05,6.0530585590091635,11.547195559889627,0.969590213036757,87631,0.5895083114139831,0.2484902499361891,β
12,354294,3,3,3.0,0.5,148651,3.780865125326282e-05,5.620293817448771,11.546219450112863,0.9695082514486388,87594,0.5892594062603009,0.25044373478951376,β
12,354294,0,3,3.0,0.25,71521,0.00010879729633297641,7.781291431030806,10.788805740418496,0.9652040189677629,42471,0.5938255896869451,0.25055342504913447,β
12,354294,1,3,3.0,0.25,71521,0.00010559656140284111,7.552371668092599,10.789318094991167,0.9652498559866671,42513,0.5944128297982411,0.24852288228401045,β
12,354294,2,3,3.0,0.25,71521,0.00011431238679067654,8.175736215655977,10.787797785959691,0.9651138438623821,42460,0.5936717887054151,0.24667195039976866,β
12,354294,3,3,3.0,0.25,71521,0.00010879729633297641,7.781291431030806,10.788805740418496,0.9652040189677629,42471,0.5938255896869451,0.25055342504913447,β
14,3188646,0,1,1.0,0.5,1337858,4.835347813211581e-06,6.46900875468762,13.770121860752065,0.9761488244817815,835910,0.6248121997999788,0.2502725205050821,β
14,3188646,1,1,1.0,0.5,1337858,5.007295327362672e-06,6.6990501120747705,13.769797681136065,0.9761258437446262,835923,0.6248219168252535,0.24961136974721132,β
14,3188646,2,1,1.0,0.5,1337858,4.669456538274934e-06,6.2470697853834265,13.76985830970062,0.9761301416370209,835875,0.6247860385780852,0.2502675248551105,β
14,3188646,3,1,1.0,0.5,1337858,4.835347813211581e-06,6.46900875468762,13.770121860752065,0.9761488244817815,835910,0.6248121997999788,0.2502725205050821,β
14,3188646,0,1,1.0,0.25,643682,1.076440886160093e-05,6.92885622485301,12.978406542880993,0.9703510478808536,380164,0.5906084060141499,0.25000019025274256,β
14,3188646,1,1,1.0,0.25,643682,1.1159055347372536e-05,7.182883064107449,12.977881974381841,0.970311827689133,380031,0.5904017822465131,0.24898688857617404,β
