r,ell,eps,c,a,b,absF,theta,s,J,phi_3r,cong_residual_q
4,1,1,164,23,7,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,26,8,46.7653718044,2.553352053844,None,None,32.916667,
4,1,1,164,29,9,46.7653718044,1.622509786113,None,None,20.916667,
4,1,1,164,32,10,46.7653718044,-0.471885316280,None,None,-6.083333,
4,1,1,164,35,11,46.7653718044,-0.937306450145,None,None,-12.083333,
4,1,1,164,38,12,46.7653718044,0.924378085316,None,None,11.916667,
4,1,1,164,41,13,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,44,14,46.7653718044,-2.333569851741,None,None,-30.083333,
4,1,1,164,47,15,46.7653718044,2.320641486911,None,None,29.916667,
4,1,1,164,50,16,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,53,17,46.7653718044,-1.635438150943,None,None,-21.083333,
4,1,1,164,56,18,46.7653718044,-0.471885316280,None,None,-6.083333,
4,1,1,164,59,19,46.7653718044,-0.471885316280,None,None,-6.083333,
4,1,1,164,62,20,46.7653718044,1.157088652248,None,None,14.916667,
4,1,1,164,65,21,46.7653718044,-1.170017017078,None,None,-15.083333,
4,1,1,164,68,22,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,71,23,46.7653718044,-0.239174749347,None,None,-3.083333,
4,1,1,164,74,24,46.7653718044,0.226246384518,None,None,2.916667,
4,1,1,164,77,25,46.7653718044,-2.566280418673,None,None,-33.083333,
4,1,1,164,80,26,46.7653718044,0.458956951450,None,None,5.916667,
4,2,1,83,2,0,46.7653718044,1.622509786113,None,None,20.916667,
4,2,1,83,5,1,46.7653718044,-2.566280418673,None,None,-33.083333,
4,2,1,83,8,2,46.7653718044,1.157088652248,None,None,14.916667,
4,2,1,83,11,3,46.7653718044,0.924378085316,None,None,11.916667,
4,2,1,83,14,4,46.7653718044,1.622509786113,None,None,20.916667,
4,2,1,83,17,5,46.7653718044,-0.239174749347,None,None,-3.083333,
4,2,1,83,20,6,46.7653718044,2.320641486911,None,None,29.916667,
4,2,1,83,23,7,46.7653718044,1.622509786113,None,None,20.916667,
4,2,1,83,26,8,46.7653718044,0.458956951450,None,None,5.916667,
4,2,1,83,29,9,46.7653718044,-0.471885316280,None,None,-6.083333,
4,2,1,83,32,10,46.7653718044,-2.566280418673,None,None,-33.083333,
4,2,1,83,35,11,46.7653718044,-3.031701552538,None,None,-39.083333,
4,2,1,83,38,12,46.7653718044,-1.170017017078,None,None,-15.083333,
4,2,1,83,41,13,46.7653718044,1.622509786113,None,None,20.916667,
4,2,1,83,44,14,46.7653718044,1.855220353046,None,None,23.916667,
4,2,1,83,47,15,46.7653718044,0.226246384518,None,None,2.916667,
4,2,1,83,50,16,46.7653718044,1.622509786113,None,None,20.916667,
4,2,1,83,53,17,46.7653718044,2.553352053844,None,None,32.916667,
4,2,1,83,56,18,46.7653718044,-2.566280418673,None,None,-33.083333,
4,2,1,83,59,19,46.7653718044,-2.566280418673,None,None,-33.083333,
4,2,1,83,62,20,46.7653718044,-0.937306450145,None,None,-12.083333,
4,2,1,83,65,21,46.7653718044,3.018773187709,None,None,38.916667,
4,2,1,83,68,22,46.7653718044,1.622509786113,None,None,20.916667,
4,2,1,83,71,23,46.7653718044,-2.333569851741,None,None,-30.083333,
4,2,1,83,74,24,46.7653718044,-1.868148717875,None,None,-24.083333,
4,2,1,83,77,25,46.7653718044,1.622509786113,None,None,20.916667,
4,2,1,83,80,26,46.7653718044,-1.635438150943,None,None,-21.083333,
5,0,0,1,1,0,81.0000000000,2.801145713077,650,1300,108.333333,
5,0,0,1,4,1,81.0000000000,-1.465214680687,389,2236,-56.666667,
5,0,0,1,7,2,81.0000000000,2.801145713077,650,1300,108.333333,
5,0,0,1,10,3,81.0000000000,-0.224091657046,677,2812,-8.666667,
5,0,0,1,13,4,81.0000000000,-0.534372412956,605,2668,-20.666667,
5,0,0,1,16,5,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,19,6,81.0000000000,0.241329476819,56,112,9.333333,
5,0,0,1,22,7,81.0000000000,-0.301661846024,659,2776,-11.666667,
5,0,0,1,25,8,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,0,0,1,28,9,81.0000000000,-2.085776192507,245,1948,-80.666667,
5,0,0,1,31,10,81.0000000000,-0.767082979889,551,2560,-29.666667,
5,0,0,1,34,11,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,0,0,1,37,12,81.0000000000,-0.922223357844,515,2488,-35.666667,
5,0,0,1,40,13,81.0000000000,-1.930635814552,281,2020,-74.666667,
5,0,0,1,43,14,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,46,15,81.0000000000,-2.551197326372,137,1732,-98.666667,
5,0,0,1,49,16,81.0000000000,2.490864957167,578,1156,96.333333,
5,0,0,1,52,17,81.0000000000,2.801145713077,650,1300,108.333333,
5,0,0,1,55,18,81.0000000000,-0.689512790911,569,2596,-26.666667,
5,0,0,1,58,19,81.0000000000,-0.068951279091,713,2884,-2.666667,
5,0,0,1,61,20,81.0000000000,0.706750610684,164,328,27.333333,
5,0,0,1,64,21,81.0000000000,-1.620355058642,353,2164,-62.666667,
5,0,0,1,67,22,81.0000000000,2.956286091032,686,1372,114.333333,
5,0,0,1,70,23,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,73,24,81.0000000000,0.939461177617,218,436,36.333333,
5,0,0,1,76,25,81.0000000000,-0.999793546821,497,2452,-38.666667,
5,0,0,1,79,26,81.0000000000,0.706750610684,164,328,27.333333,
5,0,0,1,82,27,81.0000000000,0.706750610684,164,328,27.333333,
5,0,0,1,85,28,81.0000000000,0.629180421707,146,292,24.333333,
5,0,0,1,88,29,81.0000000000,2.801145713077,650,1300,108.333333,
5,0,0,1,91,30,81.0000000000,-2.318486759439,191,1840,-89.666667,
5,0,0,1,94,31,81.0000000000,1.560022689437,362,724,60.333333,
5,0,0,1,97,32,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,100,33,81.0000000000,-1.853065625574,299,2056,-71.666667,
5,0,0,1,103,34,81.0000000000,1.792733256369,416,832,69.333333,
5,0,0,1,106,35,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,0,0,1,109,36,81.0000000000,2.103014012280,488,976,81.333333,
5,0,0,1,112,37,81.0000000000,1.327312122504,308,616,51.333333,
5,0,0,1,115,38,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,0,0,1,118,39,81.0000000000,-3.016618460237,29,1516,-116.666667,
5,0,0,1,121,40,81.0000000000,0.163759287841,38,76,6.333333,
5,0,0,1,124,41,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,127,42,81.0000000000,1.637592878414,380,760,63.333333,
5,0,0,1,130,43,81.0000000000,-1.697925247619,335,2128,-65.666667,
5,0,0,1,133,44,81.0000000000,2.801145713077,650,1300,108.333333,
5,0,0,1,136,45,81.0000000000,-2.783907893305,83,1624,-107.666667,
5,0,0,1,139,46,81.0000000000,2.025443823302,470,940,78.333333,
5,0,0,1,142,47,81.0000000000,0.706750610684,164,328,27.333333,
5,0,0,1,145,48,81.0000000000,2.568435146145,596,1192,99.333333,
5,0,0,1,148,49,81.0000000000,-1.232504113754,443,2344,-47.666667,
5,0,0,1,151,50,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,154,51,81.0000000000,-1.154933924776,461,2380,-44.666667,
5,0,0,1,157,52,81.0000000000,1.094601555572,254,508,42.333333,
5,0,0,1,160,53,81.0000000000,0.706750610684,164,328,27.333333,
5,0,0,1,163,54,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,0,0,1,166,55,81.0000000000,2.723575524100,632,1264,105.333333,
5,0,0,1,169,56,81.0000000000,2.801145713077,650,1300,108.333333,
5,0,0,1,172,57,81.0000000000,1.870303445347,434,868,72.333333,
5,0,0,1,175,58,81.0000000000,-2.628767515349,119,1696,-101.666667,
5,0,0,1,178,59,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,181,60,81.0000000000,2.335724579212,542,1084,90.333333,
5,0,0,1,184,61,81.0000000000,-2.396056948417,173,1804,-92.666667,
5,0,0,1,187,62,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,0,0,1,190,63,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,193,64,81.0000000000,-2.861478082282,65,1588,-110.666667,
5,0,0,1,196,65,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,0,0,1,199,66,81.0000000000,1.172171744549,272,544,45.333333,
5,0,0,1,202,67,81.0000000000,2.258154390235,524,1048,87.333333,
5,0,0,1,205,68,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,208,69,81.0000000000,-0.456802223979,623,2704,-17.666667,
5,0,0,1,211,70,81.0000000000,0.396469854774,92,184,15.333333,
5,0,0,1,214,71,81.0000000000,2.801145713077,650,1300,108.333333,
5,0,0,1,217,72,81.0000000000,1.404882311482,326,652,54.333333,
5,0,0,1,220,73,81.0000000000,-2.163346381484,227,1912,-83.666667,
5,0,0,1,223,74,81.0000000000,0.706750610684,164,328,27.333333,
5,0,0,1,226,75,81.0000000000,0.474040043752,110,220,18.333333,
5,0,0,1,229,76,81.0000000000,0.861890988639,200,400,33.333333,
5,0,0,1,232,77,81.0000000000,0.008618909886,2,4,0.333333,
5,0,0,1,235,78,81.0000000000,3.033856280010,704,1408,117.333333,
5,0,0,1,238,79,81.0000000000,-3.094188649215,11,1480,-119.666667,
5,0,0,1,241,80,81.0000000000,0.706750610684,164,328,27.333333,
5,1,0,244,1,0,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,1,0,244,4,1,81.0000000000,0.629180421707,146,292,24.333333,
5,1,0,244,7,2,81.0000000000,-1.387644491709,407,2272,-53.666667,
