label;inftype;chi;L0_re;L0_im;L1_re;L1_im;L2_re;L2_im
p5a;(1,0);[-1, -1/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;0.13038786173698411822564656945273515557348346864268
p5a;(2,0);[-2, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.55674763846861735119365853088099603829422186345804;-0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;-0.33570849540608321979457919686150827689535574149504
label;inftype;chi;L1_re;L1_im;L2_re;L2_im
p5b;(-1,0);[1, 1/2]~;0.71357292546965472555818988473366987290804584790438;0.13038786173698411822564656945273515557348346864268;0.86464370285856916093870885245090860365694011359610;0.09181495769030660917621350614952121738088076878153
p5b;(1,-1);[-2, 0]~;0.85607167685404896463408404526754534245030761944796;0.33570849540608321979457919686150827689535574149504;0.95871829209866881015718037072307753339178062005150;0.21437169291217084487356331950555195654779166360477
p5b;(2,1);[-1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.41252303869963421541768558030791080365840457025960;-0.11718915039593348648403944293729983553515502080228
p5b;(1,2);[1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228
p5b;(3,0);[-3, -3/2]~;1.10356306918926780167961832695524030927504371971892;-0.61527670860002014264717203053666199946426199944993;1.31007841021143951193628233615408463559181627227105;-0.50318479413505551197632025457725812184043532071741
p5b;(0,3);[3, -3/2]~;1.10356306918926780167961832695524030927504371971892;0.61527670860002014264717203053666199946426199944993;1.31007841021143951193628233615408463559181627227105;0.50318479413505551197632025457725812184043532071741
p13a;(1,0);[0, -1, -1/2]~;0.61318184407332556521463652079765309404837266030483;-0.15167672204688285805602073302741457914154066873935;0.77989091957934501661818159045181500738248324280613;-0.09460873701144666693572629309721478547897246463936
p13a;(1,0);[1, -1, -1/2]~;0.94326138229335317339378174846688792790651087629444;-0.33833929453467249667629397225612790496995951204841;1.12897849140385917213387844589168368760292323814781;-0.24614676720579590985504307991162635751644998289133
p13a;(1,0);[2, -1, -1/2]~;0.75796462716539704228716473073411496597220455147135;0.45074154192447845637282591985341241095392895666057;0.98541740939011156174284793093418220495726178592403;0.32608296029498047379331888993373280497535098401232
p13a;(2,0);[0, -2, -1]~;1.59938046286306184776201072800302914335220223743980;0.69272455611798108900127300971369614316933878851426;1.46898595230593719116818069263442186963293236713757;0.38528395467916995812056479137045074615297103530605
p13a;(2,0);[1, -2, -1]~;0.33602764095425711458223925516962500729189290585260;0.77582935263041160271201761520403563687989814549298;0.63757205218099733851812917008599182292836150822234;0.36904991151030597623491849989333079946787775488510
p13a;(2,0);[2, -2, -1]~;0.33398222634388415259700265145579706689237520056525;-1.10306836060407336487755399633847211275445323854797;0.77526855709974749720584051194945896226026537711108;-0.63828478129386626373566206660264874151239383992613
p13a;(1,1);[0, 0, -1]~;-0.25000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000
p13a;(1,1);[1, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.54595409306672615893987539132532372806434474186081;0.17759304200882023950801542387127519370128130623639
p13a;(1,1);[2, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.54595409306672615893987539132532372806434474186081;-0.17759304200882023950801542387127519370128130623639
p13a;(0,1);[0, 1, -1/2]~;0.61318184407332556521463652079765309404837266030483;0.15167672204688285805602073302741457914154066873935;0.77989091957934501661818159045181500738248324280613;0.09460873701144666693572629309721478547897246463936
p13a;(0,1);[1, 1, -1/2]~;0.75796462716539704228716473073411496597220455147135;-0.45074154192447845637282591985341241095392895666057;0.98541740939011156174284793093418220495726178592403;-0.32608296029498047379331888993373280497535098401232
p13a;(0,1);[2, 1, -1/2]~;0.94326138229335317339378174846688792790651087629444;0.33833929453467249667629397225612790496995951204841;1.12897849140385917213387844589168368760292323814781;0.24614676720579590985504307991162635751644998289133
p13a;(0,2);[0, 2, -1]~;1.59938046286306184776201072800302914335220223743980;-0.69272455611798108900127300971369614316933878851426;1.46898595230593719116818069263442186963293236713757;-0.38528395467916995812056479137045074615297103530605
p13a;(0,2);[1, 2, -1]~;0.33398222634388415259700265145579706689237520056525;1.10306836060407336487755399633847211275445323854797;0.77526855709974749720584051194945896226026537711108;0.63828478129386626373566206660264874151239383992613
p13a;(0,2);[2, 2, -1]~;0.33602764095425711458223925516962500729189290585260;-0.77582935263041160271201761520403563687989814549298;0.63757205218099733851812917008599182292836150822234;-0.36904991151030597623491849989333079946787775488510
