n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
7852193,51,2.039216,1.000000,0.529412,0.294118,0.117647,0.058824,0.039216,0.000000,0.000000,0.000000,0.000000
8314763,51,2.039216,1.000000,0.431373,0.274510,0.117647,0.039216,0.019608,0.019608,0.019608,0.019608,0.019608
435427,29,2.241379,1.000000,0.517241,0.310345,0.137931,0.068966,0.068966,0.068966,0.034483,0.034483,0.000000
5658739,69,1.913043,1.000000,0.449275,0.231884,0.130435,0.057971,0.014493,0.014493,0.014493,0.000000,0.000000
1134701,66,1.893939,1.000000,0.500000,0.287879,0.090909,0.015152,0.000000,0.000000,0.000000,0.000000,0.000000
1181735,42,2.071429,1.000000,0.523810,0.380952,0.119048,0.023810,0.023810,0.000000,0.000000,0.000000,0.000000
296065,66,1.863636,1.000000,0.484848,0.227273,0.136364,0.015152,0.000000,0.000000,0.000000,0.000000,0.000000
6558901,43,2.116279,1.000000,0.441860,0.255814,0.186047,0.093023,0.023256,0.023256,0.023256,0.023256,0.023256
7980049,36,2.222222,1.000000,0.472222,0.361111,0.194444,0.083333,0.055556,0.027778,0.027778,0.000000,0.000000
6070723,43,2.116279,1.000000,0.465116,0.325581,0.162791,0.069767,0.046512,0.023256,0.023256,0.000000,0.000000
6328823,96,1.822917,1.000000,0.458333,0.197917,0.093750,0.052083,0.020833,0.000000,0.000000,0.000000,0.000000
7707953,51,2.039216,1.000000,0.490196,0.254902,0.176471,0.058824,0.058824,0.000000,0.000000,0.000000,0.000000
7917457,58,1.982759,1.000000,0.534483,0.241379,0.155172,0.051724,0.000000,0.000000,0.000000,0.000000,0.000000
116353,24,2.291667,1.000000,0.583333,0.291667,0.166667,0.083333,0.083333,0.041667,0.041667,0.000000,0.000000
2727563,52,2.000000,1.000000,0.480769,0.250000,0.153846,0.057692,0.019231,0.019231,0.019231,0.000000,0.000000
5777527,74,1.891892,1.000000,0.459459,0.243243,0.135135,0.040541,0.013514,0.000000,0.000000,0.000000,0.000000
757633,43,2.046512,1.000000,0.558140,0.279070,0.139535,0.069767,0.000000,0.000000,0.000000,0.000000,0.000000
4242251,32,2.281250,1.000000,0.656250,0.343750,0.125000,0.093750,0.062500,0.000000,0.000000,0.000000,0.000000
1947083,63,1.920635,1.000000,0.492063,0.222222,0.126984,0.031746,0.015873,0.015873,0.015873,0.000000,0.000000
8004319,27,2.444444,1.000000,0.555556,0.407407,0.185185,0.148148,0.111111,0.037037,0.000000,0.000000,0.000000
8213141,22,2.636364,1.000000,0.636364,0.500000,0.318182,0.136364,0.045455,0.000000,0.000000,0.000000,0.000000
8288389,92,1.836957,1.000000,0.434783,0.217391,0.119565,0.032609,0.021739,0.010870,0.000000,0.000000,0.000000
4515875,25,2.480000,1.000000,0.520000,0.320000,0.280000,0.120000,0.080000,0.040000,0.040000,0.040000,0.040000
1151785,32,2.218750,1.000000,0.593750,0.343750,0.187500,0.062500,0.031250,0.000000,0.000000,0.000000,0.000000
6696311,55,2.000000,1.000000,0.509091,0.272727,0.127273,0.072727,0.018182,0.000000,0.000000,0.000000,0.000000
4315093,44,2.090909,1.000000,0.431818,0.227273,0.136364,0.068182,0.045455,0.045455,0.022727,0.022727,0.022727
7948015,39,2.179487,1.000000,0.538462,0.358974,0.179487,0.051282,0.051282,0.000000,0.000000,0.000000,0.000000
1045915,56,1.946429,1.000000,0.464286,0.250000,0.160714,0.071429,0.000000,0.000000,0.000000,0.000000,0.000000
