K,convention,r,D_K,D_avg,abs_diff,lambda_PF,n_absorbing
10,value21,1,0.975599,1.609081,0.633482,0.998039,1
10,value21,3,1.004342,1.236401,0.232059,0.998039,1
10,value21,5,0.994828,1.863896,0.869068,0.998039,1
10,value21,7,1.008894,0.737504,0.271390,0.998039,1
10,value21,9,1.005773,0.695791,0.309982,0.998039,1
10,value21,11,1.004338,0.657507,0.346831,0.998039,1
10,value21,13,1.002519,0.557318,0.445201,0.998039,1
10,value21,15,1.008534,1.057805,0.049271,0.998039,1
10,value21,17,0.979129,1.131972,0.152843,0.998039,1
10,value21,19,1.006793,0.627469,0.379324,0.998039,1
10,value21,21,0.969251,0.930738,0.038513,0.998039,1
10,value21,23,1.005934,1.398056,0.392122,0.998039,1
10,value21,25,1.010532,0.543950,0.466582,0.998039,1
10,value21,27,1.014780,0.801717,0.213063,0.998039,1
10,value21,29,0.995201,1.353787,0.358586,0.998039,1
10,value21,31,1.014788,0.766633,0.248155,0.998039,1
10,value1,1,0.907700,1.609081,0.701381,0.998444,1
10,value1,3,1.006252,1.236401,0.230149,0.998444,1
10,value1,5,0.997528,1.863896,0.866368,0.998444,1
10,value1,7,1.010808,0.737504,0.273304,0.998444,1
10,value1,9,1.008502,0.695791,0.312711,0.998444,1
10,value1,11,1.006243,0.657507,0.348736,0.998444,1
10,value1,13,1.005239,0.557318,0.447921,0.998444,1
10,value1,15,1.010449,1.057805,0.047356,0.998444,1
10,value1,17,0.985007,1.131972,0.146965,0.998444,1
10,value1,19,1.008706,0.627469,0.381237,0.998444,1
10,value1,21,1.003402,0.930738,0.072664,0.998444,1
10,value1,23,1.007846,1.398056,0.390210,0.998444,1
10,value1,25,1.013278,0.543950,0.469328,0.998444,1
10,value1,27,1.016708,0.801717,0.214991,0.998444,1
10,value1,29,0.997900,1.353787,0.355887,0.998444,1
10,value1,31,1.016717,0.766633,0.250084,0.998444,1
10,fine_cylinder,1,0.975599,1.609081,0.633482,0.998039,1
10,fine_cylinder,3,1.004342,1.236401,0.232059,0.998039,1
10,fine_cylinder,5,0.994828,1.863896,0.869068,0.998039,1
10,fine_cylinder,7,1.008894,0.737504,0.271390,0.998039,1
10,fine_cylinder,9,1.005773,0.695791,0.309982,0.998039,1
10,fine_cylinder,11,1.004338,0.657507,0.346831,0.998039,1
10,fine_cylinder,13,1.002519,0.557318,0.445201,0.998039,1
10,fine_cylinder,15,1.008534,1.057805,0.049271,0.998039,1
10,fine_cylinder,17,0.979129,1.131972,0.152843,0.998039,1
10,fine_cylinder,19,1.006793,0.627469,0.379324,0.998039,1
10,fine_cylinder,21,0.969251,0.930738,0.038513,0.998039,1
10,fine_cylinder,23,1.005934,1.398056,0.392122,0.998039,1
10,fine_cylinder,25,1.010532,0.543950,0.466582,0.998039,1
10,fine_cylinder,27,1.014780,0.801717,0.213063,0.998039,1
10,fine_cylinder,29,0.995201,1.353787,0.358586,0.998039,1
10,fine_cylinder,31,1.014788,0.766633,0.248155,0.998039,1
12,cylinder21,1,1.050193,1.609081,0.558888,0.937500,128
12,cylinder21,3,1.068238,1.236401,0.168163,0.937500,128
12,cylinder21,5,1.058366,1.863896,0.805530,0.937500,128
12,cylinder21,7,1.068238,0.737504,0.330734,0.937500,128
12,cylinder21,9,1.070866,0.695791,0.375075,0.937500,128
